customer_id,name,email,phone,address,area,latitude,longitude,registration_date,has_dashpass,segment
c390382a-dcc6-4b43-8e0e-a0758024fef6,Dwayne Campbell,ojones@example.com,+1-693-661-8324x2102,"1746 Mason Park, Uptown",Uptown,40.517325,-73.690412,2022-05-19 15:31:26,False,Regular
a524d20d-1f02-409e-af50-285b8544d5c7,Kyle Preston,cassandra01@example.org,+1-899-904-9027x87429,"75655 Mia Isle, Downtown",Downtown,40.639888,-73.931382,2022-02-13 22:15:40,False,Regular
ad814150-d105-40cf-ae82-0f5e6c160c49,Jon Bates,jcervantes@example.org,215.545.1680x876,"597 Wolf Ford, Downtown",Downtown,40.994702,-73.609042,2023-01-06 21:34:50,False,VIP
1cbb9604-5997-4ea0-96b6-ca36454e8b1f,Carlos Roberts,omartinez@example.net,324.980.8613,"27484 Davenport Mountains, East Side",East Side,40.660802,-73.864782,2021-02-23 16:38:14,True,Frequent
06db8897-97e6-4718-9491-2431726ed80c,Juan Reyes,michellehill@example.com,784-804-4997x27875,"5339 Hall Trail, Midtown",Midtown,40.529296,-73.504234,2023-12-21 17:49:37,False,VIP
2ac50d10-5b0c-4d24-a716-f62983328236,Evan Kennedy,qhughes@example.net,(370)928-9517,"26217 Morgan Square, Downtown",Downtown,40.623929,-73.879424,2023-12-29 07:48:14,False,VIP
517b874f-052e-4381-b6a1-a2b215bf2265,Bobby Murphy,ofinley@example.net,001-478-609-1343x16117,"05045 Jordan Gardens, West Side",West Side,40.677402,-73.580389,2021-12-22 11:15:37,True,Frequent
9a48f22c-b897-43bf-8eee-a8b949a362b4,Kylie Sparks,gregorylynch@example.com,+1-637-492-3747x407,"75946 Bryant Hollow, Midtown",Midtown,40.95699,-73.985897,2022-12-22 10:36:12,False,Frequent
63b58a56-fed5-437a-b749-40647240752c,James Webb,patrickhoward@example.com,001-740-564-0909x743,"394 Courtney Road, West Side",West Side,40.771062,-73.912222,2021-03-19 08:03:14,False,New
f72368bc-318d-498f-8ef0-93466f940369,Ellen Alexander,jessica14@example.com,001-662-732-8588x4247,"71236 Davis Locks, West Side",West Side,40.500342,-73.541052,2022-02-17 10:21:45,True,Frequent
67fe33ca-9468-4b71-b935-6cfa141ddcaf,Joshua Gibson,brenda51@example.net,970.698.5931,"612 Sophia Hollow, Midtown",Midtown,40.529778,-73.926144,2021-10-18 09:54:33,False,VIP
af433683-c100-44cd-9067-09c1c946bb43,Audrey Young DDS,qchavez@example.net,001-786-592-6179x640,"7351 Stephens Rue, Midtown",Midtown,40.852269,-73.66893,2021-07-26 16:19:20,True,Occasional
68a85fae-9620-4849-afec-115ba67ad75d,James Lopez,rushmadison@example.org,+1-539-500-5329x31839,"2904 Vanessa Plains, West Side",West Side,40.895921,-73.519669,2022-10-12 11:45:35,False,VIP
